"date","high_price","low_price","closing_price","average_price","total_volume","turnover"
2023-11-13,2131.07,2116.19,2122.63,NA,1,NA
2023-11-10,2124.53,2102.71,2115.38,NA,1,NA
2023-11-09,2140.2,2112.25,2137.98,NA,1,NA
2023-11-08,2125.12,2102.8,2114.32,NA,1,NA
2023-11-07,2124.89,2107.14,2116.06,NA,1,NA
2023-11-06,2141.23,2112.24,2123.5,NA,1,NA
2023-11-03,2134.05,2120.39,2126.76,NA,1,NA
2023-11-02,2123.11,2086.57,2110.8,NA,1,NA
2023-11-01,2085.97,2060.3,2073.43,NA,1,NA
2023-10-31,2083.61,2059.78,2075.79,NA,1,NA
2023-10-30,2065.68,2048.95,2057.14,NA,1,NA
2023-10-27,2073.94,2042.65,2049.65,NA,1,NA
2023-10-26,2072.24,2036.88,2064.55,NA,1,NA
2023-10-25,2085.2,2055.67,2073.84,NA,1,NA
2023-10-24,2078.47,2050.23,2074.19,NA,1,NA
2023-10-23,2087.75,2051.75,2066.5,NA,1,NA
2023-10-20,2100.98,2076.24,2077.66,NA,1,NA
2023-10-19,2148.74,2117.8,2121.83,NA,1,NA
2023-10-18,2177.98,2142.83,2144.44,NA,1,NA
2023-10-17,2185.6,2154.93,2172.25,NA,1,NA
2023-10-16,2201.56,2177.76,2190.78,NA,1,NA
2023-10-13,2208.87,2185.96,2189.84,NA,1,NA
2023-10-12,2235.9,2208.23,2212.13,NA,1,NA
2023-10-11,2197.2,2182.34,2193.71,NA,1,NA
2023-10-10,2195.07,2154.68,2193.06,NA,1,NA
2023-10-09,2151.19,2130.54,2133.26,NA,1,NA
2023-10-06,2154.02,2127.39,2154.02,NA,1,NA
2023-10-05,2140.01,2118.8,2127.06,NA,1,NA
2023-10-04,2125.01,2104.7,2116.77,NA,1,NA
2023-10-03,2149.22,2121.17,2125.06,NA,1,NA
2023-10-02,2174.25,2135.96,2145.97,NA,1,NA
2023-09-29,2165.04,2144.15,2155.49,NA,1,NA
2023-09-28,2138.58,2119.11,2137.65,NA,1,NA
2023-09-27,2145.46,2126.78,2130.32,NA,1,NA
2023-09-26,2148.98,2124.97,2133.16,NA,1,NA
2023-09-25,2170.8,2141.86,2156.12,NA,1,NA
2023-09-22,2176.87,2162.69,2165.94,NA,1,NA
2023-09-21,2188.63,2170.83,2178.82,NA,1,NA
2023-09-20,2206.98,2177.57,2202.45,NA,1,NA
2023-09-19,2191.18,2170.88,2177.2,NA,1,NA
2023-09-18,2196.43,2182.01,2187.02,NA,1,NA
2023-09-15,2212.19,2194.72,2195.2,NA,1,NA
2023-09-14,2194.08,2157.82,2190.2,NA,1,NA
2023-09-13,2171.68,2148.21,2162.46,NA,1,NA
2023-09-12,2190.88,2173.98,2177.12,NA,1,NA
2023-09-11,2193.24,2177.68,2184.56,NA,1,NA
2023-09-08,2192.13,2162.98,2176.34,NA,1,NA
2023-09-07,2206.05,2177.45,2185.58,NA,1,NA
2023-09-06,2208.46,2184.75,2202.57,NA,1,NA
2023-09-05,2210.15,2186.17,2203.7,NA,1,NA
2023-09-04,2208.69,2192.54,2193.76,NA,1,NA
